Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",86.619000,-64.130000,90.000000,top
"C2","100n","C_0402_1005Metric",91.163000,-62.225000,0.000000,top
"C2.1","10uF","CP_EIA-3216-18_Kemet-A",90.429000,-41.905000,-90.000000,top
"C2.2","10uF","CP_EIA-3216-18_Kemet-A",90.429000,-46.883400,90.000000,top
"C3","100n","C_0402_1005Metric",91.191000,-50.541000,0.000000,top
"R1","1K0","R_0402_1005Metric",84.333000,-47.493000,180.000000,top
"R2","1K8","R_0402_1005Metric",87.381000,-48.634000,-90.000000,top
"R3","10K","R_0402_1005Metric",86.238000,-48.636000,-90.000000,top
"R4","47K","R_0402_1005Metric",82.301000,-47.493000,180.000000,top
"R5","1K2","R_0402_1005Metric",83.063000,-65.019000,180.000000,top
"R6","1K0","R_0402_1005Metric",81.031000,-65.019000,0.000000,top
"R7","10K","R_0402_1005Metric",84.803000,-64.130000,-90.000000,top
"U1","XC9572XL-10VQG44C","LQFP-44_10x10mm_P0.8mm",85.603000,-56.383000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",84.206000,-43.302000,180.000000,top
